Channel,Delicassen,Detergents Paper,Fresh,Frozen,Grocery,Milk,Region
2,1338,2674,12669,214,7561,9656,3
2,1776,3293,7057,1762,9568,9810,3
2,7844,3516,6353,2405,7684,8808,3
1,1788,507,13265,6404,4221,1196,3
2,5185,1777,22615,3915,7198,5410,3
2,1451,1795,9413,666,5126,8259,3
2,545,3140,12126,480,6975,3199,3
2,2566,3321,7579,1669,9426,4956,3
1,750,1716,5963,425,6192,3648,3
2,2098,7425,6006,1159,18881,11093,3
2,1744,5977,3366,4400,12974,5403,3
2,497,549,13146,1420,4523,1124,3
2,2931,3881,31714,287,11757,12319,3
2,602,6707,21217,3095,14982,6208,3
2,2168,5058,24653,294,12091,9465,3
1,412,964,10253,397,3821,1114,3
2,1080,4508,1020,134,12121,8816,3
1,4478,370,5876,839,2933,6157,3
2,3181,2767,18601,2205,10099,6327,3
1,501,2518,7780,669,9464,2495,3
2,2124,2259,17546,1066,4602,4519,3
1,569,375,5567,3383,2010,871,3
1,4334,2381,31276,9408,4469,1917,3
2,16523,4337,26373,5154,22019,36423,3
2,5778,4482,22647,2915,13792,9776,3
2,57,4003,16165,201,7595,4230,3
1,833,242,9898,3151,2861,961,3
1,518,100,14276,485,3045,803,3
2,5206,8604,4113,1158,25957,20484,3
1,823,1107,43088,1200,2609,2100,3
1,2963,2134,18815,1148,11107,3610,3
1,985,820,2612,2088,3133,4339,3
1,405,918,21632,266,2886,1318,3
1,1083,361,29729,6130,7326,4786,3
1,395,483,1502,425,2262,1979,3
2,436,4239,688,833,11091,5491,3
1,4626,862,29955,1729,5428,4362,3
2,714,6506,15168,1920,12477,10556,3
2,433,6956,4591,33,16709,15729,3
1,2916,212,56159,10002,902,555,3
1,5864,1145,24025,9510,4757,4332,3
1,2802,2575,19176,2033,5956,3065,3
2,46,6899,10850,188,14961,7555,3
2,72,9529,630,787,23998,11095,3
2,65,4618,9670,541,10471,7027,3
2,4985,7353,5181,1740,21531,22044,3
2,1452,6792,3103,1668,21955,14069,3
2,6465,24171,44466,7782,55571,54259,3
2,1476,5121,11519,584,10868,6152,3
2,1163,13583,4967,1798,28921,21412,3
1,2162,609,6269,3860,1980,1095,3
1,301,1538,3347,239,6996,4051,3
2,1278,2587,40721,532,5876,3916,3
2,224,5611,491,744,11532,10473,3
1,1333,204,27329,2436,1947,1449,3
1,1130,2024,5264,1057,5005,3683,3
2,1340,17740,4098,2616,26866,29892,3
2,1282,7572,5417,38,10487,9933,3
1,436,227,13779,596,1648,1970,3
1,1603,3084,6137,129,8040,5360,3
2,225,4095,8590,96,7854,3045,3
2,2017,26701,35942,3254,59598,38369,3
2,964,4074,7823,4154,6544,6245,3
2,1295,7677,9396,2896,15775,11601,3
1,1145,1247,4760,3724,3250,1227,3
2,1423,24231,85,36,45828,20959,3
1,27,3468,9,175,7417,1534,3
2,834,5141,19913,1256,13462,6759,3
1,3095,788,2446,5870,3993,7260,3
1,144,656,8352,779,1293,2820,3
1,1365,116,16705,10643,3202,2037,3
1,14472,4173,18291,5373,21042,1266,3
1,181,1321,4420,8872,2661,5139,3
2,648,764,19899,8132,8713,5332,3
2,1780,1901,8190,1285,9794,6343,3
1,975,3,20398,4407,3,1137,3
1,894,529,717,7530,6532,3587,3
2,1009,12034,12205,869,28540,12697,3
1,167,301,10766,2096,2067,1175,3
1,1653,1202,1640,868,3655,3259,3
1,529,610,7005,430,3009,829,3
2,156,7818,219,283,14403,9540,3
2,2342,3537,10362,737,11009,9232,3
1,772,550,20874,2320,1783,1563,3
2,120,3837,11867,1178,4814,3327,3
2,2944,40827,16117,1026,92780,46197,3
2,903,20070,22925,987,32114,73498,3
1,14351,1579,43265,6312,8117,5025,3
1,46,165,7864,9735,4042,542,3
1,3178,454,24904,3443,5330,3836,3
1,360,69,11405,3347,1638,596,3
1,1117,627,12754,8693,2530,2762,3
